,mse,rmse,mae,mape
0,3139.171611187808,56.028310800771145,43.54367817202089,0.03771937132204543
1,0.1439124605125481,0.3793579582828705,0.28661819544529304,0.010224067974022095
2,2.774916039516282e-07,0.0005267747184059123,0.00042724398595879085,0.02185794146320483
3,0.0015409748502730755,0.03925525251826914,0.02678767604796546,0.3250282719295254
4,12.313421613588803,3.509048533946033,2.628592293636722,0.3625357914000636
5,0.38354514041077753,0.6193102133913,0.49294440625397296,0.01793055921354055
6,2.3805467775529022e-07,0.0004879084727234097,0.00038726869122928433,0.020741874394569842
7,0.0011027593574305244,0.03320782072690896,0.02526659471518555,0.3442040055769979
8,2.821084530222982,1.6796084455083518,1.368893763755923,0.3640517564840081
9,0.1989989811960627,0.446093018546651,0.3420938974350261,0.01350851181958982
10,2.6425837761545425e-07,0.0005140606750330687,0.0004254755145409919,0.023893518785797565
11,0.0011711348773984212,0.03422184795417134,0.025103015215978203,0.20750295113130512
12,1.1054594595286005,1.0514083219799055,0.8185906495035047,0.47819283170616156
